Erstellungsdatum; Performance seit beginn; Durchschnittliche Performance pro Jahr; Maximaler Drawdown; Erstemission; Performancegebühr; ISIN; Investiertes Kapital
18.10.2016;52,50%;6,70%;-34,20%;10.04.2017;30%;DE000LS9LBU8;55.720,35
20.10.2016;56,40%;7,10%;-41,00%;01.02.2017;20%;DE000LS9KR85;931.425,15
23.11.2016;624,40%;37,90%;-77,40%;25.07.2017;15%;DE000LS9LPA0;89.010,05
27.12.2016;20,30%;2,90%;-13,90%;22.02.2017;0%;DE000LS9KSL3;157.871,64
02.01.2017;177,90%;17,50%;-43,70%;08.03.2017;5%;DE000LS9K1Q6;11.890.079,67
08.01.2017;90,60%;10,90%;-9,70%;29.03.2017;10%;DE000LS9K4K3;2.610.134,84
08.01.2017;85,30%;10,40%;-37,70%;08.03.2017;10%;DE000LS9K1D4;21.322,60
09.01.2017;78,30%;9,60%;-43,20%;15.05.2017;5%;DE000LS9LD64;142.415,05
13.01.2017;147,10%;15,80%;-47,10%;17.05.2017;15%;DE000LS9LHG4;77.341,45
13.01.2017;62,80%;8,10%;-31,70%;29.03.2017;10%;DE000LS9K4D8;79.393,99
13.01.2017;160,50%;16,60%;-64,20%;08.03.2017;10%;DE000LS9K0N5;898.853,26
21.01.2017;79,50%;10,10%;-63,50%;10.04.2017;5%;DE000LS9LAK1;24.687,34
24.01.2017;21,00%;3,10%;-35,70%;27.06.2017;0%;DE000LS9LJS5;21.286,97
26.01.2017;26,80%;3,90%;-34,10%;26.07.2017;0%;DE000LS9LSY4;5.961,50
29.01.2017;17,40%;2,50%;-62,10%;10.04.2017;8%;DE000LS9LBL7;27.944,92
14.02.2017;46,50%;6,50%;-35,90%;10.04.2017;10%;DE000LS9K7N0;8.547,92
03.04.2017;81,60%;10,60%;-69,60%;26.09.2017;10%;DE000LS9L822;71.714,61
07.04.2017;14,30%;2,70%;-71,80%;25.07.2017;15%;DE000LS9LNZ2;40.251,28
14.05.2017;8,30%;1,30%;-34,30%;26.07.2017;0%;DE000LS9LSU2;29.997,10
01.06.2017;581,90%;39,20%;-62,00%;01.08.2017;20%;DE000LS9LZX1;241.150,22
04.06.2017;46,70%;6,80%;-35,70%;01.08.2017;5%;DE000LS9LYK1;14.974,60
15.06.2017;52,90%;7,60%;-37,60%;02.11.2017;10%;DE000LS9MHJ6;26.908,96
28.07.2017;199,60%;21,20%;-39,60%;13.09.2018;15%;DE000LS9M8Q9;446.533,19
28.07.2017;1,50%;0,20%;-37,50%;17.10.2017;5%;DE000LS9MD97;13.204,69
09.08.2017;421,20%;33,90%;-89,50%;26.09.2017;5%;DE000LS9L8X6;1.796.730,48
13.09.2017;59,20%;8,70%;-18,70%;12.03.2018;5%;DE000LS9MUG5;386.582,46
22.09.2017;2,40%;0,00%;-58,20%;11.12.2017;10%;DE000LS9MM21;112.910,47
